model_year,milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
2016,51335,Gasoline,Automatic,Yes,Yes,9,0.07922125478926793
2019,115000,Gasoline,Automatic,No,Yes,6,0.04718244053214173
2012,239000,Hybrid,Automatic,No,Yes,13,0.17079033377357597
2020,46891,Gasoline,Automatic,Yes,Yes,5,0.10544136898988983
2023,4457,Gasoline,Automatic,No,No,2,0.08522125293205896
2012,47245,Gasoline,Manual,No,Yes,13,0.03625217897521048
2019,36757,E85 Flex Fuel,Automatic,No,Yes,6,0.055600384332771285
2015,76296,Gasoline,Automatic,Yes,Yes,10,0.14474637261776474
2010,86170,Gasoline,Automatic,Yes,Yes,15,0.056035139414327764
2020,23278,Gasoline,Automatic,No,No,5,0.0084153761665384
2020,35400,Gasoline,Automatic,No,Yes,5,0.13654354434793775
2019,59000,Gasoline,Automatic,No,Yes,6,0.17305663123160728
2004,134000,Gasoline,Automatic,Yes,Yes,21,0.11345445650454099
2020,24114,Gasoline,Automatic,Yes,No,5,0.07393240961917244
2015,115000,Gasoline,Automatic,No,Yes,10,0.14117898315205285
2015,72000,Gasoline,Dual Shift,Yes,Yes,10,0.1351214496768613
2017,47589,Gasoline,Automatic,No,Yes,8,0.06818602555836598
1996,119500,Gasoline,Automatic,Yes,Yes,29,0.04472883345513576
2017,101800,Gasoline,Automatic,No,Yes,8,0.1741094247798381
2019,12000,Gasoline,Automatic,No,Yes,6,0.04954350787201739
2022,12055,Electric,Automatic,No,Yes,3,0.16770677949287027
2011,69700,Gasoline,Automatic,Yes,Yes,14,0.07721598073218768
2016,57939,Gasoline,Automatic,No,Yes,9,0.15444507195409815
2015,54000,Gasoline,Automatic,No,Yes,10,0.12748493060724178
2017,110000,Gasoline,Automatic,Yes,Yes,8,0.10098513009639516
2020,67400,Gasoline,Automatic,No,Yes,5,0.05336478818770799
2017,166549,Gasoline,Automatic,Yes,Yes,8,0.15730477706654214
2013,106700,Gasoline,Manual,No,Yes,12,0.08191118157975383
2020,120000,Gasoline,Automatic,No,Yes,5,0.125839999939552
2009,75000,Gasoline,Automatic,No,Yes,16,0.05153996616034993
2016,98000,Gasoline,Automatic,Yes,Yes,9,0.0507350888595369
2020,38800,Gasoline,Dual Shift,No,Yes,5,0.10917542453889299
2016,85325,Gasoline,Automatic,No,Yes,9,0.03942517445345681
2023,9980,Gasoline,Automatic,No,Yes,2,-0.025364313570606454
2011,120000,Diesel,Automatic,No,Yes,14,0.034574138581694655
2023,325,Hybrid,Automatic,No,Yes,2,-0.05024363474859958
2007,179000,Gasoline,Automatic,Yes,Yes,18,0.04221330311785923
2018,100564,Gasoline,Automatic,No,No,7,0.18265696768675674
2022,13700,Hybrid,CVT,No,Yes,3,-0.06979265787592813
2023,350,Gasoline,Dual Shift,No,Yes,2,-0.1773677170315921
